n,implementation,workers,serial_overall_s,serial_computation_s,communication_blocking_s,empirical,model,predicted_overall_s,rp,rs,x
110000000,mpi,4,14.958374,14.396792,0.014713,3.271773272962263,3.582421045850155,4.1754929999999995,0.9615112768662868,0.03750609343283723,0.0009826297008759784
110000000,hybrid,16,14.958374,14.396792,0.009886,7.559376869835211,10.166998183539025,1.4712674999999995,0.9618213473042291,0.037518188486838154,0.0006604642089327685
111000000,mpi,4,14.891854,14.399044,0.014757,3.312543500915897,3.6256792737273473,4.107328000000001,0.9659502082666543,0.03305982828692581,0.0009899634464198468
111000000,hybrid,16,14.891854,14.399044,0.012398,7.907004181323422,10.598066075946077,1.4051482500000003,0.9661030959487266,0.03306506089671593,0.0008318431545575048
112000000,mpi,4,15.050657,14.572158,0.011736,3.230858482125224,3.6413398142320332,4.1332745,0.9674530468033864,0.03176779413470359,0.0007791590619100166
112000000,hybrid,16,15.050657,14.572158,0.020173,7.554132406867384,10.678527474057592,1.4094318749999994,0.9669114441606733,0.03175000978711855,0.0013385460522081399
113000000,mpi,4,15.326284,14.757813,0.013853,3.2780395949730523,3.5878003704430057,4.271777249999999,0.9620391916969191,0.0370577524829145,0.0009030558201664041
113000000,hybrid,16,15.326284,14.757813,0.031122,7.668394850472573,10.070120853091183,1.5219563124999989,0.9609574038740658,0.03701608201280858,0.0020265141131256153
114000000,mpi,4,15.531657,14.947284,0.021271,3.270486262896301,3.576691349268216,4.342464999999999,0.9610591651938465,0.037573182361546296,0.001367652444607215
114000000,hybrid,16,15.531657,14.947284,0.080832,7.451394552666576,9.710864989142095,1.5994102499999994,0.9573927642158788,0.037429842224388325,0.005177393559732853
115000000,mpi,4,15.629263,15.115405,0.017939,3.2902340070877045,3.6257337860958616,4.31064825,0.9660132846754328,0.032840248371561805,0.0011464669530054
115000000,hybrid,16,15.629263,15.115405,0.029655,7.981761606273767,10.501943232489127,1.4882258124999992,0.9652905136868334,0.03281567730286335,0.0018938090103032663
116000000,mpi,4,15.893392,15.351248,0.012734,3.355299344304587,3.6181456009870945,4.39269,0.9651154530021955,0.03408397494147855,0.0008005720563259715
116000000,hybrid,16,15.893392,15.351248,0.010963,8.080061454334519,10.507610937747922,1.5125600000000003,0.9652229216463037,0.03408777029939289,0.0006893080543033653
117000000,mpi,4,15.942586,15.480725,0.025808,3.2749860003705846,3.658360220156716,4.35785025,0.9694603602591468,0.028923447154422743,0.00161619258643042
117000000,hybrid,16,15.942586,15.480725,0.066835,7.588097852497789,10.655090102653473,1.4962413125000007,0.9669759449763986,0.0288493256564369,0.004174729367164497
118000000,mpi,4,16.177588,15.658919,0.016711,3.293474182580543,3.6353233760133667,4.45010975,0.9669402176654882,0.032027875982776524,0.0010319063517352618
118000000,hybrid,16,16.177588,15.658919,0.160246,7.278860620982082,9.75966035782436,1.6575974375000007,0.9584452259705906,0.031746497118284006,0.009808276911125428
119000000,mpi,4,16.748049,16.219925,0.01489,3.3560103830024626,3.6424676602264854,4.597995250000002,0.9676062771570068,0.03150545378707172,0.0008882690559215182
119000000,hybrid,16,16.748049,16.219925,0.211206,7.3505197532571,9.55352509990924,1.7530753125000018,0.9564055142752437,0.0311407547088597,0.012453731015896629
120000000,mpi,4,16.588917,16.016057,0.009799,3.279524467561428,3.6167645035538563,4.586673249999999,0.9648973450717514,0.03451230806045473,0.0005903468677938703
120000000,hybrid,16,16.588917,16.016057,0.020449,7.746418740179173,10.405059453327874,1.5943125624999985,0.9642786485649122,0.0344901786136809,0.00123117282140691
121000000,mpi,4,17.095038,16.493706,0.146308,3.049109731498794,3.5095061830915264,4.8710664999999995,0.9566367962222903,0.03487732338298882,0.008485880394720922
121000000,hybrid,16,17.095038,16.493706,0.009689,7.0666700287874695,10.411883163338684,1.6418776249999993,0.9642776526044525,0.03515589579418605,0.0005664516013614248
122000000,mpi,4,16.929569,16.357497,0.016497,3.3231625220952754,3.6190197476209214,4.677943250000002,0.9652681041133675,0.03375839560639047,0.0009735002802420338
122000000,hybrid,16,16.929569,16.357497,0.021014,7.998934550701685,10.479917783478088,1.6154295625000021,0.9650108789768468,0.03374939965191778,0.0012397213712354318
123000000,mpi,4,17.057699,16.579479,0.02785,3.3377109684620074,3.667581159270016,4.65093975,0.9703802318555874,0.02798973565321198,0.0016300324912006047
123000000,hybrid,16,17.057699,16.579479,0.015678,8.179549996931055,11.147981767878866,1.5301154375000003,0.9710720380625344,0.028009690174357466,0.000918271763108142
124000000,mpi,4,18.460462,17.832631,0.077182,3.3911078413273117,3.575411872636596,5.16317075,0.9619685759420129,0.03386789604978929,0.004163528008197806
124000000,hybrid,16,18.460462,17.832631,0.470176,6.650834521939099,8.34353651842844,2.2125464375000004,0.9419984154786543,0.03316480934240037,0.02483677517894537
