n,implementation,repeat,overall_s,computation_s,prime_count,sha256,source
105000000,openmp,1,4.047251,3.428486,6032696,f930994a7c8dede85f6340a727e3906c63c2853084a679f98986076294a49a4a,dataset_105000000_130919\openmp_run_1.txt
105000000,mpi,1,4.31168,3.382492,6032696,f930994a7c8dede85f6340a727e3906c63c2853084a679f98986076294a49a4a,dataset_105000000_130919\mpi_run_1.txt
105000000,hybrid,1,1.975238,0.957197,6032696,f930994a7c8dede85f6340a727e3906c63c2853084a679f98986076294a49a4a,dataset_105000000_130919\hybrid_run_1.txt
105000000,serial,2,14.181539,13.704315,6032696,f930994a7c8dede85f6340a727e3906c63c2853084a679f98986076294a49a4a,dataset_105000000_130919\serial_run_2.txt
105000000,openmp,2,3.937479,3.446223,6032696,f930994a7c8dede85f6340a727e3906c63c2853084a679f98986076294a49a4a,dataset_105000000_130919\openmp_run_2.txt
105000000,mpi,2,4.195923,3.342276,6032696,f930994a7c8dede85f6340a727e3906c63c2853084a679f98986076294a49a4a,dataset_105000000_130919\mpi_run_2.txt
105000000,hybrid,2,1.80753,0.847233,6032696,f930994a7c8dede85f6340a727e3906c63c2853084a679f98986076294a49a4a,dataset_105000000_130919\hybrid_run_2.txt
105000000,serial,3,14.212891,13.684172,6032696,f930994a7c8dede85f6340a727e3906c63c2853084a679f98986076294a49a4a,dataset_105000000_130919\serial_run_3.txt
105000000,openmp,3,3.976767,3.440272,6032696,f930994a7c8dede85f6340a727e3906c63c2853084a679f98986076294a49a4a,dataset_105000000_130919\openmp_run_3.txt
105000000,mpi,3,4.197868,3.349372,6032696,f930994a7c8dede85f6340a727e3906c63c2853084a679f98986076294a49a4a,dataset_105000000_130919\mpi_run_3.txt
105000000,hybrid,3,1.777828,0.841526,6032696,f930994a7c8dede85f6340a727e3906c63c2853084a679f98986076294a49a4a,dataset_105000000_130919\hybrid_run_3.txt
